year,metric,value,unit,source_url,access_date
2018,"Private residential dwelling stock (Condo/Apartments + Landed + Others; derived as national total minus HDB, cross-checked by summing the three SingStat sub-rows)",404252,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2019,"Private residential dwelling stock (Condo/Apartments + Landed + Others; derived as national total minus HDB, cross-checked by summing the three SingStat sub-rows)",411431,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2020,"Private residential dwelling stock (Condo/Apartments + Landed + Others; derived as national total minus HDB, cross-checked by summing the three SingStat sub-rows)",414067,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2021,"Private residential dwelling stock (Condo/Apartments + Landed + Others; derived as national total minus HDB, cross-checked by summing the three SingStat sub-rows)",419705,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2022,"Private residential dwelling stock (Condo/Apartments + Landed + Others; derived as national total minus HDB, cross-checked by summing the three SingStat sub-rows)",424528,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2023,"Private residential dwelling stock (Condo/Apartments + Landed + Others; derived as national total minus HDB, cross-checked by summing the three SingStat sub-rows)",438036,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2024,"Private residential dwelling stock (Condo/Apartments + Landed + Others; derived as national total minus HDB, cross-checked by summing the three SingStat sub-rows)",453901,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2025,"Private residential dwelling stock (Condo/Apartments + Landed + Others; derived as national total minus HDB, cross-checked by summing the three SingStat sub-rows)",462707,units,https://data.gov.sg/datasets/d_6c58a523a05b55836f383fa2a68d332d/view,2026-07-11
2012,"Total population (residents + non-residents, mid-year estimate)",5312437,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2013,"Total population (residents + non-residents, mid-year estimate)",5399162,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2014,"Total population (residents + non-residents, mid-year estimate)",5469724,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2015,"Total population (residents + non-residents, mid-year estimate)",5535002,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2016,"Total population (residents + non-residents, mid-year estimate)",5607283,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2017,"Total population (residents + non-residents, mid-year estimate)",5612253,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2018,"Total population (residents + non-residents, mid-year estimate)",5638676,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2019,"Total population (residents + non-residents, mid-year estimate)",5703569,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2020,"Total population (residents + non-residents, mid-year estimate)",5685807,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2021,"Total population (residents + non-residents, mid-year estimate)",5453566,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2022,"Total population (residents + non-residents, mid-year estimate)",5637022,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2023,"Total population (residents + non-residents, mid-year estimate)",5917648,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2024,"Total population (residents + non-residents, mid-year estimate)",6036860,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2025,"Total population (residents + non-residents, mid-year estimate)",6111175,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2012,"Resident population (citizens + PRs, mid-year estimate)",3818205,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2013,"Resident population (citizens + PRs, mid-year estimate)",3844751,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2014,"Resident population (citizens + PRs, mid-year estimate)",3870739,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2015,"Resident population (citizens + PRs, mid-year estimate)",3902690,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2016,"Resident population (citizens + PRs, mid-year estimate)",3933559,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2017,"Resident population (citizens + PRs, mid-year estimate)",3965796,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2018,"Resident population (citizens + PRs, mid-year estimate)",3994283,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
2019,"Resident population (citizens + PRs, mid-year estimate)",4026209,persons,https://data.gov.sg/datasets/d_3d227e5d9fdec73f3bcadce671c333a6/view,2026-07-11
